category,app_name,x_time_seconds,y_cumulative_requests
Lifestyle,Study Snacks,208.2,5
Lifestyle,Study Snacks,338.17,6
Lifestyle,Study Snacks,417.34,7
Productivity,1Blocker,0.0,1
Productivity,1Blocker,0.02,2
Productivity,1Blocker,0.02,3
Productivity,1Blocker,0.06,4
Productivity,1Blocker,0.15,5
Productivity,1Blocker,0.15,6
Productivity,1Blocker,3.06,7
Productivity,1Blocker,3.21,8
Productivity,1Blocker,10.4,9
Productivity,1Blocker,10.98,10
Productivity,1Blocker,1006.76,11
Productivity,1Blocker,1006.79,12
Productivity,Airmail - Your Mail With You,0.0,1
Productivity,Airmail - Your Mail With You,0.0,2
Productivity,Airmail - Your Mail With You,0.73,3
Productivity,Airmail - Your Mail With You,0.73,4
Productivity,Airmail - Your Mail With You,7.59,5
Productivity,Airmail - Your Mail With You,26.11,6
Productivity,Airmail - Your Mail With You,26.24,7
Productivity,Bento|Craft Creative Workspace,0.0,1
Productivity,Bento|Craft Creative Workspace,0.31,2
Productivity,Bento|Craft Creative Workspace,0.34,3
Productivity,Bento|Craft Creative Workspace,0.36,4
Productivity,Bento|Craft Creative Workspace,0.37,5
Productivity,Bento|Craft Creative Workspace,0.4,6
Productivity,Bento|Craft Creative Workspace,1.37,7
Productivity,Bento|Craft Creative Workspace,1.37,8
Productivity,Bento|Craft Creative Workspace,1.4,9
Productivity,Bento|Craft Creative Workspace,1.88,10
Productivity,Bento|Craft Creative Workspace,1.88,11
Productivity,Bento|Craft Creative Workspace,10.48,12
Productivity,Bento|Craft Creative Workspace,85.26,13
Productivity,Bento|Craft Creative Workspace,85.79,14
Productivity,Bento|Craft Creative Workspace,88.0,15
Productivity,Bento|Craft Creative Workspace,89.96,16
Productivity,Bento|Craft Creative Workspace,92.21,17
Productivity,Bento|Craft Creative Workspace,98.57,18
Productivity,Bento|Craft Creative Workspace,581.86,19
Productivity,Bento|Craft Creative Workspace,581.91,20
